Date,Open,Adj Close
2015-08-19,116.099998,106.282379
2015-08-20,114.080002,104.101456
2015-08-21,110.43,97.734299
2015-08-24,94.870003,95.294647
2015-08-25,111.110001,95.867607
2015-08-26,107.089996,101.366074
2015-08-27,112.230003,104.350983
2015-08-28,112.169998,104.692871
2015-08-31,112.029999,104.20311
2015-09-01,110.150002,99.54557
2015-09-02,110.230003,103.81498
2015-09-03,112.489998,101.994484
2015-09-04,108.970001,100.977966
2015-09-08,111.75,103.787254
2015-09-09,113.760002,101.791168
2015-09-10,110.269997,104.027512
2015-09-11,111.790001,105.543083
2015-09-14,116.580002,106.559593
2015-09-15,115.93,107.455994
2015-09-16,116.25,107.576134
2015-09-17,115.660004,105.275085
2015-09-18,112.209999,104.840744
2015-09-21,113.669998,106.467194
2015-09-22,113.379997,104.794556
2015-09-23,113.629997,105.644722
2015-09-24,113.25,106.273109
2015-09-25,116.440002,106.005119
2015-09-28,113.849998,103.907394
2015-09-29,112.830002,100.78389
2015-09-30,110.169998,101.929794
2015-10-01,109.07,101.264427
2015-10-02,108.010002,102.003716
2015-10-05,109.879997,102.373367
2015-10-06,110.629997,102.863136
2015-10-07,111.739998,102.373367
2015-10-08,110.190002,101.190491
2015-10-09,110.0,103.611687
2015-10-12,112.730003,103.131142
2015-10-13,110.82,103.306717
2015-10-14,111.290001,101.846626
2015-10-15,110.93,103.371414
2015-10-16,111.779999,102.613632
2015-10-19,110.800003,103.251282
2015-10-20,111.339996,105.136467
2015-10-21,114.0,105.127235
2015-10-22,114.330002,106.735191
2015-10-23,116.699997,110.04351
2015-10-26,118.080002,106.531876
2015-10-27,115.400002,105.857277
2015-10-28,116.93,110.219093
2015-10-29,118.699997,111.383469
2015-10-30,120.989998,110.431648
2015-11-02,120.800003,111.984161
2015-11-03,120.790001,113.268661
2015-11-04,123.129997,112.74192
2015-11-05,121.849998,112.222191
2015-11-06,121.110001,112.352112
2015-11-09,120.959999,111.897385
2015-11-10,116.900002,108.37068899999998
2015-11-11,116.370003,107.758179
2015-11-12,116.260002,107.396225
2015-11-13,115.199997,104.259354
2015-11-16,111.379997,105.967026
2015-11-17,114.919998,105.51226
2015-11-18,115.760002,108.853294
2015-11-19,117.639999,110.236122
2015-11-20,119.199997,110.718719
2015-11-23,119.269997,109.280228
2015-11-24,117.330002,110.328941
2015-11-25,119.209999,109.54007
2015-11-27,118.290001,109.335907
2015-11-30,117.989998,109.790665
2015-12-01,118.75,108.899689
2015-12-02,117.339996,107.915955
2015-12-03,116.550003,106.913643
2015-12-04,115.290001,110.468147
2015-12-07,118.980003,109.772102
2015-12-08,117.519997,109.725693
2015-12-09,117.639999,107.303421
2015-12-10,116.040001,107.813866
2015-12-11,115.190002,105.03894
2015-12-14,112.18,104.38929
2015-12-15,111.940002,102.54245
2015-12-16,111.07,103.331291
2015-12-17,112.019997,101.141052
2015-12-18,108.910004,98.403236
2015-12-21,107.279999,99.609726
2015-12-22,107.400002,99.51693
2015-12-23,107.269997,100.797646
2015-12-24,109.0,100.259377
2015-12-28,107.589996,99.136421
2015-12-29,106.959999,100.918304
2015-12-30,108.580002,99.600441
2015-12-31,107.010002,97.688629
2016-01-04,102.610001,97.772148
2016-01-05,105.75,95.322052
2016-01-06,100.559998,93.456642
2016-01-07,98.68,89.51232900000002
2016-01-08,98.550003,89.98563399999998
2016-01-11,98.970001,91.442703
2016-01-12,100.550003,92.769859
2016-01-13,100.32,90.384712
2016-01-14,97.959999,92.361481
2016-01-15,96.199997,90.143433
2016-01-19,98.410004,89.707237
2016-01-20,95.099998,89.827881
2016-01-21,97.059998,89.37312299999998
2016-01-22,98.629997,94.12484
2016-01-25,101.519997,92.28727
2016-01-26,99.93,92.797707
2016-01-27,96.040001,86.700294
2016-01-28,93.790001,87.322075
2016-01-29,94.790001,90.33831
2016-02-01,96.470001,89.493767
2016-02-02,95.419998,87.684044
2016-02-03,95.0,89.41954799999998
2016-02-04,95.860001,90.138016
2016-02-05,96.519997,87.730598
2016-02-08,93.129997,88.654388
2016-02-09,94.290001,88.635727
2016-02-10,95.919998,87.96386700000002
2016-02-11,93.790001,87.431999
2016-02-12,94.190002,87.70259899999998
2016-02-16,95.019997,90.175346
2016-02-17,96.669998,91.556351
2016-02-18,98.839996,89.820747
2016-02-19,96.0,89.61547900000002
2016-02-22,96.309998,90.399269
2016-02-23,96.400002,88.355766
2016-02-24,93.980003,89.671448
2016-02-25,96.050003,90.287315
2016-02-26,97.199997,90.427277
2016-02-29,96.860001,90.222015
2016-03-01,97.650002,93.805122
2016-03-02,100.510002,94.010406
2016-03-03,100.580002,94.710243
2016-03-04,102.370003,96.119225
2016-03-07,102.389999,95.055504
2016-03-08,100.779999,94.271683
2016-03-09,101.309998,94.355659
2016-03-10,101.410004,94.402313
2016-03-11,102.239998,95.419395
2016-03-14,101.910004,95.662003
2016-03-15,103.959999,97.584206
2016-03-16,104.610001,98.881218
2016-03-17,105.519997,98.72258
2016-03-18,106.339996,98.834564
2016-03-21,105.93,98.825233
2016-03-22,105.25,99.581047
2016-03-23,106.480003,99.03051
2016-03-24,105.470001,98.601288
2016-03-28,106.0,98.153397
2016-03-29,104.889999,100.476837
2016-03-30,108.650002,102.231064
2016-03-31,109.720001,101.699196
2016-04-01,108.779999,102.632294
2016-04-04,110.419998,103.686699
2016-04-05,109.510002,102.464348
2016-04-06,110.230003,103.537399
2016-04-07,109.949997,101.279305
2016-04-08,108.910004,101.391273
2016-04-11,108.970001,101.72718
2016-04-12,109.339996,103.052185
2016-04-13,110.800003,104.545166
2016-04-14,111.620003,104.601151
2016-04-15,112.110001,102.501671
2016-04-18,108.889999,100.290207
2016-04-19,107.879997,99.758339
2016-04-20,106.639999,99.963631
2016-04-21,106.93,98.881218
2016-04-22,105.010002,98.610611
2016-04-25,105.0,98.050774
2016-04-26,103.910004,97.369583
2016-04-27,96.0,91.276405
2016-04-28,97.610001,88.486427
2016-04-29,93.989998,87.469337
2016-05-02,93.970001,87.37602199999998
2016-05-03,94.199997,88.813004
2016-05-04,95.199997,87.889236
2016-05-05,94.0,87.532501
2016-05-06,93.370003,87.044342
2016-05-09,93.0,87.110031
2016-05-10,93.330002,87.701477
2016-05-11,93.480003,86.84716
